"0,2-HCore","1,2-HCore","3,2-HCore","4,2-HCore","5,2-HCore"
1233,80,3,0,0
1233,80,21,189,691
1233,80,33,679,4796
1233,80,42,1316,15687
1233,80,0,0,0
1039,39,21,189,665
1039,38,21,189,665
1008,10,0,0,0
1044,84,21,189,665
1008,24,18,135,380
1039,39,21,245,1082
1039,42,21,245,1082
1039,42,3,0,0
1033,31,18,135,380
1039,38,18,155,535
1044,84,12,54,76
1008,11,9,27,19
1039,42,12,54,76
1044,84,21,189,665
1039,42,21,189,665
1044,84,6,9,0
1008,6,3,0,0
1008,16,9,27,19
1044,84,34,840,7410
1039,39,33,495,3135
1039,41,34,761,6625
1039,41,34,736,6090
1039,39,12,54,76
1008,17,9,27,19
1008,7,0,0,0
1044,84,10,43,36
1044,84,21,201,991
1044,84,21,201,878
1044,84,21,201,991
1044,84,18,135,380
1044,84,42,934,9080
1044,84,6,9,0
1044,84,42,1380,18445
1044,84,21,201,878
1044,84,3,0,0
1044,84,9,27,19
1044,84,42,1343,17128
1044,84,21,189,665
1044,84,33,761,5542
1044,84,21,189,665
1044,84,6,9,0
1044,84,6,9,0
1044,84,21,189,691
1044,84,33,702,5125
1044,84,42,1283,15521
1044,84,21,250,1098
1027,28,9,27,19
1039,42,9,27,19
1008,22,21,201,878
1008,22,21,201,991
1008,22,21,201,878
1008,22,21,189,665
1039,28,10,43,36
1039,37,3,0,0
1008,22,21,201,878
1008,22,21,201,878
1008,22,21,189,665
1008,22,21,201,878
1008,22,21,189,665
1008,9,9,27,19
1039,43,42,934,9015
1039,43,42,942,9560
1039,38,21,254,953
1039,43,42,895,8327
1007,2,0,0,0
1039,39,9,27,19
1017,24,12,54,76
1039,39,27,392,2256
1039,42,27,399,2336
1039,43,42,1284,16619
1039,38,6,9,0
1039,43,42,1248,15488
1008,22,21,189,665
1039,38,21,200,704
1039,43,42,1148,13607
1039,38,33,558,3788
1008,9,3,0,0
1019,24,12,54,76
1008,18,12,54,76
1039,42,0,0,0
1029,28,12,54,76
1033,29,21,235,969
843,40,34,685,5585
1800,43,34,703,5670
1599,40,34,695,5663
886,40,34,685,5584
843,40,34,650,5047
858,40,34,621,4485
809,40,34,643,4968
779,40,34,583,3988
858,40,34,619,4483
1233,44,34,697,5663
747,38,28,394,2126
1044,40,34,701,5670
843,40,34,685,5584
843,40,34,583,3988
633,25,15,90,190
605,21,6,9,0
606,21,9,27,19
1800,46,34,686,5585
1599,47,34,685,5584
886,40,34,685,5584
850,41,34,643,4968
861,40,34,621,4485
843,40,34,643,4968
843,40,34,583,3988
861,40,34,619,4483
1233,49,34,685,5584
818,38,28,394,2126
1044,40,34,686,5585
850,44,34,685,5584
843,40,34,583,3988
712,21,9,27,19
1800,190,34,763,6203
1800,92,34,720,6039
1800,53,34,655,5086
1800,75,34,621,4485
1800,49,25,322,1497
1800,40,34,643,4968
1800,40,34,619,4355
1800,67,34,654,4960
1800,26,9,27,19
1800,128,34,753,6188
1800,26,12,54,76
1800,38,28,438,2506
1800,111,34,793,6261
1800,43,34,723,6072
1800,26,9,27,19
1800,43,34,587,4019
1800,27,15,118,248
1800,26,9,27,19
1800,26,12,54,76
1800,26,6,9,0
1800,26,6,9,0
1800,26,0,0,0
1800,26,0,0,0
1800,26,9,27,19
1599,70,34,720,6039
1599,50,34,650,5047
1599,68,34,621,4485
1599,54,25,322,1497
1599,40,34,643,4968
1599,40,34,619,4355
1599,96,34,654,4960
1599,24,9,27,19
1599,106,34,758,6195
1599,38,28,443,2511
1599,106,34,763,6203
1599,24,6,9,0
1599,45,34,729,6079
1599,41,34,583,3988
1599,24,9,27,19
1599,27,15,118,248
1599,24,9,27,19
1599,25,12,54,76
886,40,34,643,4968
886,44,34,621,4485
886,38,25,313,1461
867,40,34,643,4968
863,40,34,619,4355
886,45,34,654,4960
1233,69,34,720,6039
862,38,28,438,2506
1044,60,34,720,6039
886,40,34,716,6039
886,40,34,583,3988
860,40,34,583,3988
843,40,34,643,4968
833,40,34,583,3988
861,40,34,583,3988
1233,41,34,650,5047
700,22,12,54,76
1044,41,34,655,5086
850,40,34,643,4968
843,40,34,587,4019
714,25,15,90,190
686,18,3,0,0
858,40,34,583,3988
858,40,33,495,3135
1233,60,34,621,4485
852,38,27,324,1596
1044,53,34,621,4485
861,40,34,621,4485
858,40,33,495,3135
737,33,24,252,1064
858,41,25,313,1461
1233,38,25,322,1497
713,31,24,252,1064
1044,38,25,322,1497
843,35,25,313,1461
628,22,12,54,76
691,40,34,583,3988
852,40,34,583,3988
1233,40,34,643,4968
1044,40,34,643,4968
843,40,34,643,4968
812,40,34,583,3988
850,40,33,540,3510
1233,40,34,619,4355
1044,40,34,619,4355
843,40,34,614,4355
1233,49,34,654,4960
849,38,27,377,1984
1044,41,34,654,4960
861,40,34,650,4960
858,40,33,495,3135
1044,26,9,27,19
1233,38,28,443,2511
1233,86,34,751,6188
1233,60,34,729,6079
1233,41,34,583,3988
1233,22,9,27,19
1233,27,15,110,240
1233,25,12,54,76
1233,22,6,9,0
1233,21,3,0,0
1233,21,0,0,0
1044,26,12,54,76
210,11,9,27,19
619,21,12,54,76
200,7,3,0,0
200,7,3,0,0
1044,38,28,438,2506
819,38,28,443,2511
379,18,9,27,19
1044,26,6,9,0
1044,40,34,723,6072
1044,26,9,27,19
1044,40,34,587,4019
1044,27,15,118,248
1044,26,9,27,19
1044,26,12,54,76
1044,26,6,9,0
1044,26,9,27,19
843,40,34,583,3988
713,22,9,27,19
721,24,12,54,76
198,8,6,9,0
226,13,9,27,19
183,3,3,0,0
776,13,3,0,0
1800,190,18,135,380
1800,92,18,135,380
1800,67,18,135,380
1800,107,18,135,380
1800,128,18,135,380
1800,68,18,135,380
1800,12,6,9,0
1599,70,18,135,380
1599,13,9,27,19
1599,96,18,135,380
1599,79,18,135,380
1599,106,18,135,380
1599,45,18,135,380
886,45,18,135,380
886,43,18,135,380
1233,69,18,135,380
862,32,18,135,380
704,13,9,27,19
1233,13,9,27,19
861,51,18,135,380
1233,49,18,135,380
849,35,18,135,380
1233,44,18,135,380
839,51,18,135,380
711,12,6,9,0
1233,36,18,135,380
484,12,6,9,0
1599,96,6,9,0
1599,8,6,9,0
1599,13,3,0,0
692,8,6,9,0
709,11,3,0,0
58,2,0,0,0
1599,16,0,0,0
