"0,1-d","2,1-d","3,1-d"
409,8,30
423,16,120
408,6,15
425,36,545
436,42,820
416,18,165
409,8,30
432,48,835
547,160,2440
422,28,295
416,16,130
418,26,255
411,12,50
407,4,5
428,32,505
406,2,0
420,20,190
436,62,960
413,14,105
410,10,45
408,6,15
428,38,420
418,20,140
409,8,30
406,2,0
408,6,5
413,12,60
412,12,55
411,8,30
417,24,220
410,10,40
427,28,390
714,214,3730
416,20,205
407,4,5
416,20,170
413,16,140
407,4,5
406,2,0
436,44,745
608,214,3550
413,14,80
407,4,5
410,8,15
413,8,30
410,6,15
414,16,105
412,12,40
410,10,40
466,70,1100
408,6,15
410,10,50
428,30,365
413,12,20
408,6,10
530,92,1770
489,92,1620
409,8,30
483,88,1575
408,6,15
408,6,15
413,12,65
418,20,170
443,70,1000
498,84,1570
422,28,280
411,8,30
415,20,165
409,8,30
412,14,90
409,8,30
409,8,30
409,8,30
412,14,105
410,6,5
407,4,5
408,4,5
405,0,0
411,12,60
418,16,95
411,6,10
412,14,80
406,2,0
409,8,30
409,6,10
413,12,65
405,0,0
411,12,50
424,34,315
405,0,0
405,0,0
406,2,0
405,0,0
408,6,15
405,0,0
407,4,5
409,8,30
406,2,0
406,2,0
409,8,30
426,40,640
405,0,0
405,0,0
407,4,5
407,4,5
405,0,0
413,14,105
407,4,5
405,0,0
406,2,0
405,0,0
411,10,30
406,2,0
415,20,145
408,6,15
406,2,0
407,4,5
411,12,70
411,12,70
433,48,815
412,14,80
412,14,55
407,4,5
408,6,5
405,0,0
407,4,5
411,10,35
407,4,5
406,2,0
433,52,905
420,22,240
409,8,30
405,0,0
411,12,65
409,8,30
406,2,0
405,0,0
407,4,5
405,0,0
426,38,670
406,2,0
407,4,5
407,4,5
407,4,5
411,10,50
405,0,0
405,0,0
425,34,465
412,12,75
409,6,10
405,0,0
406,2,0
406,2,0
406,2,0
407,4,5
409,8,25
408,6,15
410,10,50
409,8,30
412,14,95
406,2,0
405,0,0
408,4,5
406,2,0
407,4,0
408,6,15
413,16,115
406,2,0
411,12,50
407,4,0
410,8,25
412,12,55
409,8,30
411,12,70
407,4,5
409,6,15
406,2,0
410,10,45
416,18,140
414,18,115
406,2,0
407,4,0
407,4,5
405,0,0
405,0,0
406,2,0
406,2,0
405,0,0
406,2,0
408,6,15
405,0,0
405,0,0
408,6,15
417,18,145
407,4,5
406,2,0
414,10,45
406,2,0
408,6,10
416,18,125
406,2,0
406,2,0
407,4,5
441,52,960
426,36,510
407,4,5
406,2,0
407,4,0
408,4,5
406,2,0
405,0,0
406,2,0
406,2,0
406,2,0
411,12,50
405,0,0
405,0,0
410,8,25
409,8,30
405,0,0
408,4,5
405,0,0
410,10,50
411,12,75
405,0,0
409,6,15
409,8,20
406,2,0
408,2,0
421,20,155
405,0,0
405,0,0
418,24,235
407,4,5
405,0,0
406,2,0
405,0,0
410,8,25
409,6,10
408,4,5
419,16,100
412,12,55
406,2,0
408,6,5
406,2,0
407,4,5
406,2,0
405,0,0
405,0,0
414,14,105
406,2,0
408,6,15
407,4,5
406,2,0
407,4,5
406,2,0
414,14,85
405,0,0
406,2,0
406,2,0
406,2,0
407,4,5
411,8,30
410,6,10
405,0,0
410,10,50
408,6,15
405,0,0
405,0,0
406,2,0
410,10,50
410,10,50
405,0,0
409,8,20
405,0,0
405,0,0
410,10,50
418,24,190
407,4,5
407,4,5
406,2,0
408,6,15
410,10,45
418,24,255
406,2,0
405,0,0
406,2,0
406,2,0
407,4,5
405,0,0
408,6,15
406,2,0
410,10,45
428,20,95
406,2,0
405,0,0
408,4,5
406,2,0
407,4,5
413,16,105
408,6,15
408,6,15
408,4,5
407,4,5
415,16,105
407,4,5
406,2,0
408,6,15
416,18,65
406,2,0
405,0,0
406,2,0
407,4,5
406,2,0
405,0,0
406,2,0
407,4,5
408,6,15
409,8,30
406,2,0
405,0,0
407,4,5
407,4,5
406,2,0
407,4,0
409,8,30
405,0,0
405,0,0
406,2,0
443,74,1285
405,0,0
407,4,5
413,16,130
417,18,100
406,2,0
407,4,5
406,2,0
408,6,15
408,6,15
408,6,5
412,12,70
407,4,5
421,18,150
405,0,0
406,2,0
406,2,0
407,4,5
408,6,15
405,0,0
410,10,40
405,0,0
413,14,80
414,14,90
417,14,65
406,2,0
407,4,5
407,4,0
405,0,0
407,4,5
405,0,0
407,4,5
407,2,0
204,2,0
158,18,135
21,12,70
81,20,190
134,20,175
156,22,200
27,14,100
45,18,165
25,6,15
52,18,150
15,2,0
14,0,0
151,14,60
316,12,60
26,6,15
8,2,0
22,6,15
6,4,5
25,4,5
156,18,160
27,6,10
330,22,190
44,12,75
105,18,160
35,16,100
114,20,160
57,18,140
22,2,0
26,10,45
25,8,30
28,2,0
23,4,5
28,2,0
21,0,0
21,0,0
21,0,0
196,40,775
63,16,140
149,70,1305
187,56,1155
111,38,795
79,30,490
172,34,595
118,42,870
83,34,635
75,28,450
74,24,320
60,12,65
361,56,1195
63,20,200
83,30,495
59,12,65
255,50,1095
113,38,705
75,34,415
55,4,5
177,64,1245
136,62,1270
