"0,1-nd","2,1-nd","3,1-nd"
169987,808,37565
169390,240,5260
169832,550,10145
169766,474,8255
169138,0,0
169426,384,6285
170665,1220,48300
169278,154,3045
170315,976,30695
169148,22,0
170000,842,22115
169684,480,11425
169965,704,26095
169138,0,0
169968,836,22945
171210,1942,91200
169138,0,0
169138,0,0
169688,384,0
169138,0,0
169954,630,15070
169138,0,0
169893,604,12300
170137,818,24730
169688,384,0
169688,384,0
169381,302,4775
171148,2410,140930
169138,0,0
169138,0,0
169144,16,25
169266,214,2845
169138,0,0
170358,1258,50965
169402,362,6990
169138,0,0
169143,8,0
169138,0,0
170183,804,21145
169688,384,0
169940,1086,38980
170123,808,20290
169258,196,0
169145,18,25
170360,1136,38590
169982,786,19320
171955,2928,191860
170212,1054,33460
169652,546,11850
169163,48,530
169830,532,10015
169138,0,0
169999,604,13045
169731,488,14835
169752,472,8080
169197,70,0
171973,3034,191225
170668,1596,78800
169942,726,17900
169138,0,0
170034,862,21415
170238,800,24330
169231,86,0
169138,0,0
169832,550,10145
169138,0,0
171266,2432,157685
169139,4,0
169145,18,25
169240,164,3590
169516,332,6895
170440,1086,39985
169138,0,0
169138,0,0
171394,2330,130125
170506,1156,46285
170016,622,13125
169138,0,0
169225,88,0
169688,384,0
169197,70,0
169371,236,5260
169926,652,14990
169792,572,11440
170042,906,25045
169983,708,18690
170007,822,20815
169139,4,0
169138,0,0
169738,464,7155
169205,112,0
169692,390,0
169338,228,4945
170164,980,29045
169688,384,0
170300,960,29120
169284,168,0
170002,728,17175
170434,1178,40210
169209,136,1600
170080,976,28730
169478,360,8005
169600,522,12215
169141,8,0
169697,528,12045
170340,1102,46390
170144,1002,27310
169282,144,0
169288,176,0
169288,180,2550
169138,0,0
169138,0,0
169341,216,0
169157,36,0
169138,0,0
169205,112,0
169895,582,13030
169138,0,0
169138,0,0
169271,226,2865
170343,1168,41175
169173,62,870
169222,94,0
169686,562,15605
169688,384,0
169833,540,10045
170216,1032,40280
169140,6,0
169258,196,0
169584,360,8435
173017,3292,246975
171203,2182,133045
169293,186,2590
169258,196,0
169450,220,0
169462,238,3865
169235,104,0
169138,0,0
169144,14,0
169280,162,0
169242,82,0
169556,626,18425
169138,0,0
169138,0,0
169519,500,9885
169201,134,1670
169138,0,0
169517,292,6120
169138,0,0
169275,256,6795
169957,750,17115
169138,0,0
169560,422,11515
169926,684,14055
169258,196,0
169268,200,0
170949,1536,68265
169138,0,0
169138,0,0
170715,1646,73250
169154,32,85
169138,0,0
169263,94,0
